student_id,name,subject,score,date,attendance,grade
STU049,Ashley Sullivan,English,60,2024-03-18,71,Medium
STU050,Kenneth Turner,History,64,2024-09-19,90,Medium
STU051,Ruth Rogers,Science,94,2024-08-21,65,High
STU052,Michael Carson,Science,79,2024-07-26,91,Medium
STU053,Melissa Pruitt,Math,43,2024-01-11,99,Low
STU054,Brandon Mejia,Science,54,2024-12-23,70,Low
STU055,Jacob Ruiz,Math,87,2024-10-19,85,High
STU056,Paul Russo,History,45,2024-01-31,86,Low
STU057,Nicholas Baker,Science,45,2024-04-06,86,Low
STU058,Carly Johnson,Math,60,2024-05-11,88,Medium
STU059,Erica Ortega,Math,54,2024-06-27,85,Low
STU060,William Aguilar,Math,94,2024-12-15,93,High
STU061,Kelly Gomez,Science,79,2024-05-18,73,Medium
STU062,Kristina Reid DDS,History,94,2024-02-17,77,High
STU063,Nicholas Anderson,History,53,2024-12-21,72,Low
STU064,William Webb,Math,74,2024-11-15,72,Medium
STU065,Michael Rogers,History,79,2024-08-21,92,Medium
STU066,Jeremy Mejia,Math,44,2024-08-05,73,Low
STU067,Thomas Burke Jr.,Math,40,2024-10-26,88,Low
STU068,Haley Bailey,English,69,2024-11-02,91,Medium
STU069,William Blankenship,English,38,2024-07-04,87,Low
STU070,Gabrielle Moore,Science,57,2024-11-25,99,Low
STU071,Kenneth Johnson,English,40,2024-09-17,99,Low
STU072,Sheila White,English,64,2024-10-23,80,Medium
STU073,Kimberly Watkins,English,83,2024-11-04,60,Medium
STU074,William Burns,Math,61,2024-09-28,68,Medium
STU075,Mitchell Cochran,Math,99,2024-09-15,80,High
STU076,Maxwell Winters,English,79,2024-10-01,71,Medium
STU077,Clifford Miller,English,63,2024-10-30,94,Medium
STU078,Tina Shannon,English,88,2024-03-20,82,High
STU079,Patrick Ward,History,63,2024-12-06,66,Medium
STU080,Todd Sanchez,History,87,2024-10-11,76,High
STU081,Adam Hernandez,English,56,2024-12-14,65,Low
STU082,Shannon Cervantes,History,89,2024-05-22,97,High
STU083,Wanda Ramirez,Science,59,2024-05-29,93,Low
STU084,Terri Parsons,English,68,2024-04-19,82,Medium
STU085,Michael Henry,History,88,2024-03-25,74,High
STU086,Ricardo Wood,English,99,2024-10-27,66,High
STU087,Zachary Hebert,Math,69,2024-03-16,88,Medium
STU088,Kristin Reilly,English,66,2024-02-28,97,Medium
STU089,Lisa Thompson,English,35,2024-03-11,82,Low
STU090,Marie Velasquez,Science,83,2024-10-19,64,Medium
STU091,George Watts,History,37,2024-05-08,69,Low
STU092,Tyler Ballard,History,67,2024-11-20,67,Medium
STU093,Jill Harrison,Math,78,2024-09-18,91,Medium
STU094,Sara Lee,Science,35,2024-10-13,68,Low
STU095,Tracy Stone,English,69,2024-04-17,98,Medium
STU096,Joshua Ward,Science,89,2024-10-04,80,High
STU097,Donald Jones,Science,98,2024-09-10,71,High
STU098,Theresa Wise,English,48,2024-12-29,78,Low
STU099,Timothy Garcia,Math,61,2024-12-27,74,Medium
STU100,Kyle Wilson,Science,84,2024-04-15,65,Medium
